iter	MultiClass	Accuracy
0	1.315816642	0.5392620624
1	1.258552373	0.5657521287
2	1.213747159	0.5650425733
3	1.175237997	0.5652790918
4	1.143125857	0.5593661306
5	1.118670765	0.5671712394
6	1.094666654	0.5771050142
7	1.071927678	0.5797067171
8	1.054008362	0.5745033113
9	1.038089471	0.5773415326
10	1.023860448	0.580179754
11	1.011561702	0.5818353832
12	1.000104226	0.5820719016
13	0.9891944388	0.5863292337
14	0.9800589122	0.5865657521
15	0.9711501978	0.5903500473
16	0.9638476594	0.5903500473
17	0.9555004196	0.5901135289
18	0.9482162433	0.5948438978
19	0.9416734208	0.5972090823
20	0.9362097563	0.5993377483
21	0.9310722349	0.5998107852
22	0.9260780321	0.5974456008
23	0.9213167498	0.5998107852
24	0.9167166211	0.600756859
25	0.9131014662	0.5991012299
26	0.9096769473	0.5993377483
27	0.9055076896	0.6028855251
28	0.9030730132	0.6014664144
29	0.8991610794	0.6024124882
30	0.8960943442	0.6028855251
31	0.8925237195	0.6028855251
32	0.8898533056	0.6059602649
33	0.8871347622	0.6059602649
34	0.8836678813	0.6066698202
35	0.8813958821	0.6085619678
36	0.878049368	0.6092715232
37	0.8756561526	0.610217597
38	0.8723964141	0.6116367077
39	0.8707556995	0.6116367077
40	0.8688931413	0.6116367077
41	0.8671253227	0.6125827815
42	0.8640820381	0.6147114475
43	0.8624287948	0.617076632
44	0.8607647247	0.6189687796
45	0.8582904516	0.6227530747
46	0.8565785892	0.6244087039
47	0.8554836189	0.6234626301
48	0.8535378538	0.6229895932
49	0.8518607823	0.6236991485
50	0.8488827367	0.6248817408
51	0.8472415521	0.6258278146
52	0.8447811982	0.6258278146
53	0.8435092567	0.6246452223
54	0.8417356408	0.6267738884
55	0.8397574945	0.6284295175
56	0.837594771	0.6293755913
57	0.8365417338	0.6312677389
58	0.8347314024	0.632923368
59	0.8330482903	0.6326868496
60	0.8308461755	0.6345789972
61	0.8282130692	0.6381267739
62	0.8270805127	0.6404919584
63	0.8232784134	0.6404919584
64	0.8211098384	0.6428571429
65	0.8185055726	0.6435666982
66	0.8162156588	0.6449858089
67	0.8153027579	0.6456953642
68	0.8128105004	0.6475875118
69	0.8109247475	0.6511352886
70	0.8086156054	0.6542100284
71	0.8074154663	0.6527909177
72	0.8064065402	0.6511352886
73	0.805280401	0.6532639546
74	0.8039075958	0.6525543992
75	0.8020134619	0.6539735099
76	0.8002658306	0.6544465468
77	0.7987823484	0.6549195837
78	0.7967253408	0.6565752129
79	0.7940763257	0.6579943236
80	0.792684013	0.660359508
81	0.7914617885	0.6620151372
82	0.7900442748	0.6617786187
83	0.7887953653	0.6617786187
84	0.7870635102	0.6662724693
85	0.7854673666	0.6681646168
86	0.7838523532	0.6662724693
87	0.782813962	0.6665089877
88	0.781591302	0.6676915799
89	0.7794178894	0.6695837275
90	0.7767193683	0.6724219489
91	0.7752367902	0.6738410596
92	0.7748064115	0.6726584674
93	0.7729921056	0.6747871334
94	0.7717791134	0.6757332072
95	0.7706348733	0.6750236518
96	0.7691662524	0.6759697256
97	0.7680660755	0.6776253548
98	0.7665248335	0.6795175024
99	0.7642562019	0.6802270577
100	0.7621912779	0.6807000946
101	0.7613590132	0.6821192053
102	0.758565402	0.6861400189
103	0.7571528279	0.6863765374
104	0.755321379	0.6870860927
105	0.7536179628	0.688268685
106	0.751210136	0.6896877956
107	0.7502650441	0.690397351
108	0.7492469807	0.6908703879
109	0.7471722416	0.6948912015
110	0.744840437	0.6958372753
111	0.7435876704	0.6974929044
112	0.7419061086	0.6965468307
113	0.7404983997	0.6982024598
114	0.7395008626	0.6977294229
115	0.7384410446	0.6991485336
116	0.7364058333	0.7008041627
117	0.7349024259	0.699385052
118	0.7333262828	0.7029328288
119	0.7320878138	0.7060075686
120	0.7314472276	0.7043519395
121	0.7305504357	0.7057710501
122	0.7294990552	0.7074266793
123	0.7274815707	0.7112109745
124	0.7265818448	0.7112109745
125	0.7245370753	0.7121570482
126	0.723331809	0.7114474929
127	0.7217736247	0.713103122
128	0.7200976818	0.7135761589
129	0.7188858754	0.7133396405
130	0.7172534697	0.7126300851
131	0.7163185278	0.7128666036
132	0.7151058088	0.713103122
133	0.7139348252	0.7159413434
134	0.7111899567	0.7166508988
135	0.7103708845	0.7166508988
136	0.7091484428	0.7185430464
137	0.708150332	0.7180700095
138	0.7070865893	0.7185430464
139	0.7055349939	0.7194891202
140	0.7041061632	0.7220908231
141	0.703416186	0.7223273415
142	0.7024928849	0.7213812677
143	0.7013127951	0.7232734153
144	0.6994884263	0.7244560076
145	0.6980839772	0.7254020814
146	0.6964365981	0.7282403027
147	0.6943529668	0.7270577105
148	0.692511092	0.7313150426
149	0.6913269175	0.7303689688
150	0.6901906953	0.7317880795
151	0.6879418599	0.7322611164
152	0.6864757619	0.7336802271
153	0.6857412362	0.7339167455
154	0.6839509908	0.7346263009
155	0.6831683034	0.7339167455
156	0.6818885051	0.7332071902
157	0.6799785251	0.7360454115
158	0.6783741547	0.7358088931
159	0.677791945	0.7372280038
160	0.6757241873	0.7414853359
161	0.6744592618	0.743140965
162	0.6726395746	0.7443235572
163	0.6719209943	0.7443235572
164	0.6709785228	0.7443235572
165	0.6700560762	0.7464522233
166	0.6690108974	0.7471617786
167	0.6672277779	0.747871334
168	0.6666575613	0.7473982971
169	0.6649587778	0.75
170	0.6630207895	0.7485808893
171	0.6621862074	0.752128666
172	0.6614698836	0.7528382214
173	0.6602929129	0.7516556291
174	0.6587336948	0.7528382214
175	0.6570892258	0.7533112583
176	0.6561037198	0.754730369
177	0.6552537097	0.7552034059
178	0.654341251	0.7537842952
179	0.65264332	0.7535477767
180	0.6518709149	0.7542573321
181	0.6504753977	0.7544938505
182	0.6498494609	0.7556764428
183	0.6485096547	0.7563859981
184	0.6477893075	0.7570955535
185	0.6462801789	0.756859035
186	0.6457671732	0.7575685904
187	0.6441102532	0.7587511826
188	0.6432715043	0.7585146641
189	0.6427462961	0.7596972564
190	0.6412413201	0.7606433302
191	0.6402135492	0.7604068117
192	0.6391635453	0.7606433302
193	0.637929222	0.7618259224
194	0.6369445684	0.7622989593
195	0.6352248651	0.7644276254
196	0.6346073898	0.76371807
197	0.6331795885	0.7644276254
198	0.6324820902	0.7646641438
199	0.630830307	0.7651371807
200	0.6299903461	0.7670293283
201	0.6293111265	0.7672658467
202	0.6283617456	0.7672658467
203	0.6265371568	0.7682119205
204	0.6258309316	0.7679754021
205	0.6242956706	0.770577105
206	0.6233436034	0.7717596973
207	0.6224140531	0.7727057711
208	0.621459696	0.7748344371
209	0.6211290644	0.7755439924
210	0.6199309794	0.775307474
211	0.6187097085	0.7771996216
212	0.6181587633	0.7767265847
213	0.6172867093	0.7760170293
214	0.6165678387	0.7767265847
215	0.6160749607	0.7762535478
216	0.6155063331	0.7769631031
217	0.6144461656	0.7769631031
218	0.6134174769	0.7771996216
219	0.6130263102	0.7779091769
220	0.6114013693	0.7793282876
221	0.6106437756	0.7809839167
222	0.6097134122	0.7807473983
223	0.6088705301	0.7819299905
224	0.6081028244	0.7824030274
225	0.6070596026	0.7824030274
226	0.6065447934	0.7826395459
227	0.6058956644	0.7828760643
228	0.604866186	0.7826395459
229	0.6036837233	0.784295175
230	0.6032693884	0.784295175
231	0.6023845748	0.7838221381
