iter	Passed	Remaining
0	3	3968
1	7	3706
2	10	3572
3	14	3516
4	17	3441
5	20	3392
6	23	3391
7	27	3355
8	30	3309
9	33	3284
10	36	3264
11	39	3253
12	42	3233
13	45	3206
14	48	3174
15	51	3143
16	54	3142
17	57	3132
18	60	3114
19	63	3102
20	66	3088
21	69	3079
22	72	3065
23	75	3053
24	77	3041
25	80	3033
26	84	3027
27	86	3019
28	89	3008
29	92	3002
30	95	2996
31	99	3004
32	102	3012
33	106	3012
34	109	3011
35	112	3010
36	115	3005
37	118	3001
38	121	2998
39	124	2988
40	127	2982
41	130	2976
42	133	2970
43	136	2966
44	139	2961
45	142	2955
46	145	2956
47	148	2954
48	152	2956
49	155	2953
50	158	2952
51	161	2946
52	164	2942
53	167	2938
54	170	2934
55	173	2930
56	176	2926
57	180	2924
58	182	2918
59	185	2913
60	188	2909
61	191	2904
62	194	2897
63	197	2893
64	200	2888
65	203	2885
66	206	2881
67	209	2876
68	212	2872
69	215	2868
70	219	2865
71	221	2860
72	224	2854
73	227	2850
74	230	2845
75	233	2840
76	236	2835
77	239	2831
78	242	2826
79	245	2821
80	248	2818
81	251	2814
82	254	2809
83	257	2805
84	260	2800
85	263	2798
86	266	2794
87	269	2790
88	272	2786
89	275	2783
90	278	2780
91	281	2776
92	284	2770
93	286	2765
94	289	2760
95	292	2756
96	295	2752
97	298	2748
98	301	2743
99	304	2740
100	307	2737
101	310	2732
102	313	2728
103	316	2723
104	318	2718
105	321	2714
106	324	2710
107	327	2706
108	330	2702
109	333	2698
110	336	2694
111	339	2692
112	342	2688
113	345	2684
114	348	2681
115	351	2676
116	354	2674
117	357	2670
118	360	2666
119	363	2662
120	365	2658
121	369	2656
122	372	2655
123	375	2652
124	378	2649
125	381	2647
126	384	2646
127	388	2643
128	390	2639
129	393	2636
130	396	2632
131	399	2629
132	402	2625
133	405	2621
134	408	2618
135	411	2614
136	414	2611
137	417	2608
138	420	2605
139	423	2602
140	426	2598
141	429	2595
142	432	2591
143	435	2587
144	438	2584
145	441	2580
146	444	2578
147	447	2574
148	450	2571
149	453	2568
150	456	2565
151	459	2562
152	462	2559
153	465	2555
154	468	2551
155	471	2548
156	474	2545
157	477	2543
158	480	2540
159	483	2538
160	486	2535
161	489	2532
162	492	2529
163	495	2526
164	498	2522
165	501	2519
166	504	2516
167	507	2513
168	510	2510
169	513	2506
170	516	2503
171	519	2500
172	522	2498
173	525	2494
174	528	2491
175	531	2488
176	534	2485
177	537	2481
178	540	2478
179	543	2475
180	546	2471
181	549	2468
182	552	2465
183	555	2462
184	558	2458
185	561	2455
186	564	2452
187	567	2450
188	570	2447
189	573	2444
190	576	2440
191	579	2437
192	582	2435
193	585	2432
194	588	2428
195	591	2425
196	594	2422
197	597	2419
198	600	2415
199	603	2412
200	606	2409
201	609	2406
202	612	2403
203	615	2401
204	618	2397
205	621	2394
206	624	2391
207	627	2387
208	630	2384
209	632	2380
210	635	2377
211	638	2374
212	641	2371
213	644	2368
214	647	2365
215	650	2362
216	653	2358
217	656	2355
218	659	2353
219	662	2349
220	665	2346
221	668	2343
222	671	2339
223	674	2336
224	677	2333
225	680	2330
226	683	2327
227	686	2323
228	689	2320
229	692	2316
230	695	2313
231	697	2310
232	700	2306
233	703	2304
234	707	2301
235	710	2298
236	712	2295
237	716	2292
238	719	2289
239	722	2286
240	725	2283
241	728	2281
242	731	2278
243	734	2275
244	737	2272
245	740	2269
246	743	2266
247	746	2263
248	749	2260
249	752	2256
250	755	2253
251	758	2250
252	761	2247
253	764	2244
254	767	2242
255	770	2239
256	773	2237
257	776	2234
258	779	2231
259	782	2228
260	785	2224
261	788	2221
262	791	2218
263	794	2216
264	797	2213
265	800	2210
266	803	2206
267	806	2203
268	809	2200
269	812	2197
270	815	2194
271	818	2191
272	821	2187
273	824	2184
274	827	2181
275	830	2178
276	833	2175
277	836	2172
278	839	2169
279	842	2166
280	845	2163
281	848	2160
282	851	2157
283	854	2154
284	857	2151
285	860	2148
286	863	2145
287	866	2142
288	869	2139
289	872	2136
290	875	2132
291	878	2129
292	881	2126
293	884	2123
294	887	2121
295	891	2119
296	894	2116
297	897	2113
298	900	2110
299	903	2107
300	906	2104
301	909	2101
302	911	2097
303	914	2094
304	918	2091
305	920	2088
306	923	2085
307	926	2082
308	929	2079
309	931	2074
310	934	2070
311	937	2067
312	940	2064
313	943	2061
314	946	2057
315	950	2056
316	953	2053
317	957	2052
318	960	2050
319	963	2047
320	966	2045
321	970	2042
322	973	2040
323	976	2037
324	979	2035
325	983	2032
326	986	2029
327	989	2027
328	992	2024
329	995	2021
330	998	2018
331	1002	2016
332	1005	2014
333	1008	2011
334	1012	2009
335	1015	2006
336	1018	2003
337	1021	2000
338	1024	1997
339	1027	1994
340	1030	1991
341	1033	1988
342	1036	1985
343	1039	1982
344	1042	1979
345	1045	1976
346	1048	1973
347	1051	1970
348	1054	1967
349	1057	1964
350	1061	1961
351	1063	1958
352	1066	1955
353	1070	1952
354	1073	1949
355	1076	1946
356	1079	1943
357	1082	1940
358	1085	1938
359	1088	1935
360	1092	1933
361	1095	1930
362	1098	1927
363	1101	1924
364	1104	1922
365	1107	1919
366	1111	1916
367	1114	1913
368	1117	1910
369	1120	1907
370	1123	1904
371	1126	1901
372	1129	1899
373	1133	1896
374	1136	1893
375	1139	1890
376	1142	1888
377	1145	1885
378	1149	1883
379	1152	1880
380	1155	1877
381	1158	1874
382	1161	1871
383	1164	1868
384	1167	1865
385	1170	1862
386	1173	1859
387	1176	1855
388	1179	1852
389	1182	1849
390	1185	1846
391	1188	1843
392	1191	1840
393	1194	1837
394	1197	1834
395	1200	1831
396	1203	1828
397	1206	1825
398	1209	1822
399	1212	1819
400	1215	1816
401	1218	1812
402	1221	1809
403	1224	1806
404	1227	1803
405	1230	1800
406	1233	1797
407	1236	1794
408	1239	1791
409	1242	1787
410	1245	1784
411	1248	1781
412	1251	1778
413	1254	1775
414	1257	1772
415	1260	1769
416	1263	1766
417	1266	1763
418	1269	1759
419	1272	1756
420	1275	1753
421	1278	1750
422	1281	1747
423	1284	1744
424	1287	1741
425	1290	1738
426	1293	1735
427	1296	1732
428	1299	1729
429	1302	1726
430	1305	1723
431	1308	1720
432	1311	1717
433	1314	1714
434	1317	1711
435	1320	1708
436	1323	1705
437	1326	1702
438	1329	1699
439	1332	1696
440	1335	1693
441	1338	1690
442	1341	1687
443	1344	1684
444	1347	1680
445	1350	1677
446	1353	1674
447	1356	1671
448	1359	1668
449	1362	1665
450	1365	1662
451	1368	1659
452	1372	1656
453	1375	1654
454	1378	1651
455	1381	1648
456	1384	1645
457	1387	1642
458	1390	1638
459	1393	1635
460	1396	1632
461	1399	1629
462	1402	1626
463	1405	1624
464	1408	1620
465	1411	1617
466	1414	1614
467	1417	1611
468	1420	1608
469	1423	1605
470	1426	1602
471	1429	1598
472	1432	1595
473	1435	1593
474	1438	1589
475	1441	1586
476	1444	1583
477	1447	1580
478	1450	1577
479	1453	1574
480	1456	1571
481	1459	1568
482	1462	1565
483	1465	1562
484	1468	1559
485	1471	1555
486	1473	1552
487	1476	1549
488	1479	1546
489	1482	1543
490	1485	1540
491	1488	1536
492	1491	1533
493	1494	1530
494	1497	1527
495	1500	1524
496	1503	1521
497	1506	1518
498	1509	1515
499	1512	1512
500	1515	1509
501	1518	1505
502	1521	1502
503	1524	1499
504	1527	1497
505	1530	1493
506	1533	1490
507	1536	1487
508	1539	1484
509	1542	1481
510	1545	1478
511	1548	1476
512	1551	1473
513	1555	1470
514	1558	1467
515	1560	1464
